卡池ID,卡池类型,开始时间,结束时间,PickUp卡名,图片路径
20002,支援卡,2021-01-01 14:00:00,2050-01-01 14:00:00,[献上全国第一的演出]特别周、[在耀眼景色的前方]无声铃鹿、[有梦想就要大声说出来！]东海帝王、[不沉舰的进击]黄金船、[伏特加之路]伏特加、[万紫千红中一枝独秀]草上飞、[热情的冠军！]神鹰、[期待已久的计谋]青云天空、[划破天空的闪电少女！]玉藻十字、[全身心的感谢]美妙姿势、[飞奔吧，闪耀吧]艾尼风神、[B·N·Winner！]胜利奖券、[冲向前方7厘米之外]空中神宫、[Run（my）way]黄金城、[好快！好吃！好快！]樱花进王、[一颗安心糖]超级溪流、[这就是我的优俊偶像之道☆]醒目飞鹰、[哪怕还不能独当一面]西野花、[必杀技！双胡萝卜拳！]微光飞驹、[欢迎来到特雷森学园！]骏川手纲,D:\Apps\umas\export\Texture2D\img_bnr_gacha_20002.png
20004,支援卡,2021-01-01 14:00:00,2050-01-01 14:00:00,[献上全国第一的演出]特别周、[在耀眼景色的前方]无声铃鹿、[有梦想就要大声说出来！]东海帝王、[不沉舰的进击]黄金船、[伏特加之路]伏特加、[万紫千红中一枝独秀]草上飞、[热情的冠军！]神鹰、[期待已久的计谋]青云天空、[划破天空的闪电少女！]玉藻十字、[全身心的感谢]美妙姿势、[飞奔吧，闪耀吧]艾尼风神、[B·N·Winner！]胜利奖券、[冲向前方7厘米之外]空中神宫、[Run（my）way]黄金城、[好快！好吃！好快！]樱花进王、[一颗安心糖]超级溪流、[这就是我的优俊偶像之道☆]醒目飞鹰、[哪怕还不能独当一面]西野花、[必杀技！双胡萝卜拳！]微光飞驹、[欢迎来到特雷森学园！]骏川手纲,D:\Apps\umas\export\Texture2D\img_bnr_gacha_20004.png
30003,支援卡,2021-01-01 14:00:00,2021-03-02 10:59:59,[献上全国第一的演出]特别周、[在耀眼景色的前方]无声铃鹿、[有梦想就要大声说出来！]东海帝王、[不沉舰的进击]黄金船、[伏特加之路]伏特加、[万紫千红中一枝独秀]草上飞、[热情的冠军！]神鹰、[期待已久的计谋]青云天空、[划破天空的闪电少女！]玉藻十字、[全身心的感谢]美妙姿势、[飞奔吧，闪耀吧]艾尼风神、[B·N·Winner！]胜利奖券、[冲向前方7厘米之外]空中神宫、[Run（my）way]黄金城、[好快！好吃！好快！]樱花进王、[一颗安心糖]超级溪流、[这就是我的优俊偶像之道☆]醒目飞鹰、[哪怕还不能独当一面]西野花、[必杀技！双胡萝卜拳！]微光飞驹、[欢迎来到特雷森学园！]骏川手纲,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30003.png
50002,支援卡,2021-01-01 14:00:00,2023-03-30 10:59:59,[献上全国第一的演出]特别周、[在耀眼景色的前方]无声铃鹿、[有梦想就要大声说出来！]东海帝王、[不沉舰的进击]黄金船、[伏特加之路]伏特加、[万紫千红中一枝独秀]草上飞、[热情的冠军！]神鹰、[期待已久的计谋]青云天空、[划破天空的闪电少女！]玉藻十字、[全身心的感谢]美妙姿势、[飞奔吧，闪耀吧]艾尼风神、[B·N·Winner！]胜利奖券、[冲向前方7厘米之外]空中神宫、[Run（my）way]黄金城、[好快！好吃！好快！]樱花进王、[一颗安心糖]超级溪流、[这就是我的优俊偶像之道☆]醒目飞鹰、[哪怕还不能独当一面]西野花、[必杀技！双胡萝卜拳！]微光飞驹、[欢迎来到特雷森学园！]骏川手纲,D:\Apps\umas\export\Texture2D\img_bnr_gacha_50002.png
20001,角色卡池,2021-01-01 14:00:00,2050-01-01 14:00:00,[特别追梦者]特别周、[无声无瑕]无声铃鹿、[喜乐无边]东海帝王、[绯红方程式]丸善斯基、[星光跃动]小栗帽、[狂野前线]大树快车、[优雅曲线]目白麦昆、[皇帝]鲁道夫象征、[玫瑰之梦]米浴,D:\Apps\umas\export\Texture2D\img_bnr_gacha_20001.png
20003,角色卡池,2021-01-01 14:00:00,2050-01-01 14:00:00,[特别追梦者]特别周、[无声无瑕]无声铃鹿、[喜乐无边]东海帝王、[绯红方程式]丸善斯基、[星光跃动]小栗帽、[狂野前线]大树快车、[优雅曲线]目白麦昆、[皇帝]鲁道夫象征、[玫瑰之梦]米浴,D:\Apps\umas\export\Texture2D\img_bnr_gacha_20003.png
30002,角色卡池,2021-01-01 14:00:00,2021-03-02 10:59:59,[特别追梦者]特别周、[无声无瑕]无声铃鹿、[喜乐无边]东海帝王、[绯红方程式]丸善斯基、[星光跃动]小栗帽、[狂野前线]大树快车、[优雅曲线]目白麦昆、[皇帝]鲁道夫象征、[玫瑰之梦]米浴,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30002.png
50001,角色卡池,2021-01-01 14:00:00,2023-03-30 10:59:59,[特别追梦者]特别周、[无声无瑕]无声铃鹿、[喜乐无边]东海帝王、[绯红方程式]丸善斯基、[星光跃动]小栗帽、[狂野前线]大树快车、[优雅曲线]目白麦昆、[皇帝]鲁道夫象征、[玫瑰之梦]米浴,D:\Apps\umas\export\Texture2D\img_bnr_gacha_50001.png
10002,支援卡,2021-03-02 11:00:00,2050-01-01 10:59:59,[献上全国第一的演出]特别周、[在耀眼景色的前方]无声铃鹿、[有梦想就要大声说出来！]东海帝王、[不沉舰的进击]黄金船、[伏特加之路]伏特加、[万紫千红中一枝独秀]草上飞、[热情的冠军！]神鹰、[期待已久的计谋]青云天空、[划破天空的闪电少女！]玉藻十字、[全身心的感谢]美妙姿势、[飞奔吧，闪耀吧]艾尼风神、[B·N·Winner！]胜利奖券、[冲向前方7厘米之外]空中神宫、[Run（my）way]黄金城、[好快！好吃！好快！]樱花进王、[一颗安心糖]超级溪流、[这就是我的优俊偶像之道☆]醒目飞鹰、[哪怕还不能独当一面]西野花、[必杀技！双胡萝卜拳！]微光飞驹、[欢迎来到特雷森学园！]骏川手纲,D:\Apps\umas\export\Texture2D\img_bnr_gacha_10002.png
30005,支援卡,2021-03-02 11:00:00,2021-03-09 10:59:59,[特雷森学园]东商变革、[见习魔女与漫漫长夜]东商变革、[“要受人喜爱啊”]小栗帽,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30005.png
10001,角色卡池,2021-03-02 11:00:00,2050-01-01 10:59:59,[特别追梦者]特别周、[无声无瑕]无声铃鹿、[喜乐无边]东海帝王、[绯红方程式]丸善斯基、[星光跃动]小栗帽、[狂野前线]大树快车、[优雅曲线]目白麦昆、[皇帝]鲁道夫象征、[玫瑰之梦]米浴,D:\Apps\umas\export\Texture2D\img_bnr_gacha_10001.png
30004,角色卡池,2021-03-02 11:00:00,2021-03-09 10:59:59,[O sole suo！]好歌剧,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30004.png
30007,支援卡,2021-03-09 11:00:00,2021-03-18 10:59:59,[特雷森学园]双涡轮、[特雷森学园]大拓太阳神、[派对人派对夜！]大拓太阳神、[涡轮引擎马力全开！]双涡轮,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30007.png
30006,角色卡池,2021-03-09 11:00:00,2021-03-18 10:59:59,[MB-19890425]美浦波旁,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30006.png
30009,支援卡,2021-03-18 11:00:00,2021-03-30 10:59:59,[特雷森学园]生野狄杜斯、[特雷森学园]目白善信、[热身运动决不可懈怠]生野狄杜斯、[尽管笑我傻吧]目白善信,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30009.png
30008,角色卡池,2021-03-18 11:00:00,2021-03-30 10:59:59,[pf.胜利公式]琵琶晨光,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30008.png
30011,支援卡,2021-03-30 11:00:00,2021-04-15 10:59:59,[特雷森学园]北部玄驹、[特雷森学园]里见光钻、[特雷森学园]待兼唐怀瑟、[身后迫近的热浪是动力]北部玄驹、[超越那前方的背影]里见光钻,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30011.png
30010,角色卡池,2021-03-30 11:00:00,2021-04-15 10:59:59,[飞跃地平线]东海帝王、[天际尽头]目白麦昆,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30010.png
30013,支援卡,2021-04-15 11:00:00,2021-04-26 10:59:59,[这是送给你的]西野花、[由故乡直达的助威！]雪之美人,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30013.png
30012,角色卡池,2021-04-15 11:00:00,2021-04-26 10:59:59,[闪电少女]真机伶,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30012.png
30015,支援卡,2021-04-26 11:00:00,2021-05-06 10:59:59,[特雷森学园]八重无敌、[特雷森学园]荒漠英雄、[推荐你读这本书！]荒漠英雄、[心中的烈火无法抑制]八重无敌,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30015.png
30014,角色卡池,2021-04-26 11:00:00,2021-05-06 10:59:59,[Nevertheless]成田大进,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30014.png
30017,支援卡,2021-05-06 11:00:00,2021-05-17 10:59:59,[一颗安心糖]超级溪流、[欢迎来到特雷森学园！]骏川手纲,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30017.png
30016,角色卡池,2021-05-06 11:00:00,2021-05-17 10:59:59,[绝对☆LOVE]醒目飞鹰,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30016.png
30019,支援卡,2021-05-17 11:00:00,2021-05-28 10:59:59,[特雷森学园]采珠、[特雷森学园]樱花千代王、[世界的珍珠，其名为]采珠、[樱花盛开之时]樱花千代王,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30019.png
30018,角色卡池,2021-05-17 11:00:00,2021-05-28 10:59:59,[Maverick]成田白仁,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30018.png
30021,支援卡,2021-05-28 11:00:00,2021-06-10 10:59:59,[特雷森学园]川上公主、[特雷森学园]菱曙、[身为新娘！]川上公主、[请品尝第一口！]菱曙,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30021.png
30020,角色卡池,2021-05-28 11:00:00,2021-06-10 10:59:59,[阳光花束]重炮、[橡木王冠]气槽,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30020.png
30023,支援卡,2021-06-10 11:00:00,2021-06-21 10:59:59,[在耀眼景色的前方]无声铃鹿、[划破天空的闪电少女！]玉藻十字,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30023.png
30022,角色卡池,2021-06-10 11:00:00,2021-06-21 10:59:59,[青云垂钓者]青云天空,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30022.png
30025,支援卡,2021-06-21 11:00:00,2021-06-29 10:59:59,[特雷森学园]青竹回忆、[特雷森学园]新光风、[///WARNING GATE///]新光风、[Head-on fight！]青竹回忆,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30025.png
30024,角色卡池,2021-06-21 11:00:00,2021-06-29 10:59:59,[亚马逊青金石]菱亚马逊,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30024.png
30027,支援卡,2021-06-29 11:00:00,2021-07-12 10:59:59,[明天全国都会染红吧♪]青云天空、[起舞今宵]帝王光辉,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30027.png
30026,角色卡池,2021-06-29 11:00:00,2021-07-12 10:59:59,[羽蛇武斗家]神鹰、[圣翠治愈师]草上飞,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30026.png
30029,支援卡,2021-07-12 11:00:00,2021-07-20 10:59:59,[特雷森学园]目白雅丹、[强风拂心]目白雅丹、[爽快！决胜一击！]目白莱恩,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30029.png
30028,角色卡池,2021-07-12 11:00:00,2021-07-20 10:59:59,[流星歌剧]富士奇石,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30028.png
30031,支援卡,2021-07-20 11:00:00,2021-07-29 10:59:59,[特雷森学园]成田白仁、[伏特加之路]伏特加、[哪怕还不能独当一面]西野花,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30031.png
30030,角色卡池,2021-07-20 11:00:00,2021-07-29 10:59:59,[真我/1928]黄金城,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30030.png
30033,支援卡,2021-07-29 11:00:00,2021-08-11 10:59:59,[独享冰凉？]东商变革、[全力嬉闹！]胜利奖券,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30033.png
30032,角色卡池,2021-07-29 11:00:00,2021-08-11 10:59:59,[雀跃♪维他命心拍]特别周、[飞跃☆夏夜]丸善斯基,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30032.png
30035,支援卡,2021-08-11 11:00:00,2021-08-20 10:59:59,[献上全国第一的演出]特别周、[有梦想就要大声说出来！]东海帝王,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30035.png
30034,角色卡池,2021-08-11 11:00:00,2021-08-20 10:59:59,[苍蓝/怒涛]名将怒涛,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30034.png
30037,支援卡,2021-08-20 11:00:00,2021-08-30 10:59:59,[特雷森学园]岛川乔丹、[nail on Turf]岛川乔丹、[即使满身泥土，也要追逐梦想]优秀素质,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30037.png
30036,角色卡池,2021-08-20 11:00:00,2021-08-30 10:59:59,[Meisterschaft]荣进闪耀,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30036.png
50004,支援卡,2021-08-24 11:00:00,2021-09-29 10:59:59,[献上全国第一的演出]特别周、[在耀眼景色的前方]无声铃鹿、[有梦想就要大声说出来！]东海帝王、[不沉舰的进击]黄金船、[伏特加之路]伏特加、[万紫千红中一枝独秀]草上飞、[热情的冠军！]神鹰、[期待已久的计谋]青云天空、[划破天空的闪电少女！]玉藻十字、[全身心的感谢]美妙姿势、[飞奔吧，闪耀吧]艾尼风神、[B·N·Winner！]胜利奖券、[冲向前方7厘米之外]空中神宫、[Run（my）way]黄金城、[好快！好吃！好快！]樱花进王、[一颗安心糖]超级溪流、[这就是我的优俊偶像之道☆]醒目飞鹰、[哪怕还不能独当一面]西野花、[必杀技！双胡萝卜拳！]微光飞驹、[欢迎来到特雷森学园！]骏川手纲、[“要受人喜爱啊”]小栗帽、[涡轮引擎马力全开！]双涡轮、[尽管笑我傻吧]目白善信、[身后迫近的热浪是动力]北部玄驹、[超越那前方的背影]里见光钻、[由故乡直达的助威！]雪之美人、[心中的烈火无法抑制]八重无敌、[樱花盛开之时]樱花千代王、[身为新娘！]川上公主、[请品尝第一口！]菱曙、[Head-on fight！]青竹回忆、[明天全国都会染红吧♪]青云天空、[起舞今宵]帝王光辉、[爽快！决胜一击！]目白莱恩、[独享冰凉？]东商变革、[全力嬉闹！]胜利奖券、[即使满身泥土，也要追逐梦想]优秀素质,D:\Apps\umas\export\Texture2D\img_bnr_gacha_50004.png
